Nome: SAO SIMAO
Codigo Estacao: 83669
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620.02
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2023-09-08
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2019-08-01;5,5;9,5;1,2;32,2;20,7;10,7;54;34;,333333;
2019-08-02;6,2;8,2;0;33,4;23,28;12,9;50,75;26;,333333;
2019-08-03;8,2;,3;2;23,1;16,2;13,6;84;62;1,666667;
2019-08-04;,8;0;2;14,7;13,06;12,2;90,25;83;1,666667;
2019-08-05;1,3;0;1,7;18,5;15,32;11,4;81;77;2;
2019-08-06;3,5;4,4;,2;24,7;20,1;14,1;66,25;57;0;
2019-08-07;3,7;9,4;0;29,1;22,18;14,8;58,5;48;1;
2019-08-08;5,7;9,7;0;31;20,86;12,4;61,5;36;0;
2019-08-09;5,6;9,7;0;32,3;21,58;12,2;56,75;36;,666667;
2019-08-10;6,3;8,2;0;32,6;20,74;13,9;58;29;,333333;
2019-08-11;7,9;9,6;0;33,3;23,24;11,8;44;33;,666667;
2019-08-12;7,8;9,5;0;33,8;23,66;15,6;51,75;30;,333333;
2019-08-13;6,6;8,5;0;34,3;24,3;15,2;51;29;1,333333;
2019-08-14;7,8;7;0;26,9;18,6;13,4;56;49;3;
2019-08-15;5,5;9,6;0;28,1;19,64;10,5;51;39;2,666667;
2019-08-16;7,9;9,8;0;29;19,52;13,5;55,75;38;1;
2019-08-17;6,9;9,6;0;30,3;19,98;11,4;54;31;,666667;
2019-08-18;8;8,2;0;32,1;21,34;11,6;51,75;25;,666667;
2019-08-19;6,8;0;0;31,1;21,5;12,9;58,25;37;,333333;
