,Accuracy
862,67.94258373205741
863,72.72727272727273
864,69.377990430622
865,72.24880382775119
866,69.85645933014354
867,70.81339712918661
868,73.68421052631578
869,70.33492822966507
870,71.29186602870813
871,72.24880382775119
872,71.29186602870813
873,71.77033492822966
874,70.33492822966507
875,70.81339712918661
876,70.33492822966507
877,71.29186602870813
878,70.81339712918661
879,70.81339712918661
880,68.42105263157895
881,69.377990430622
882,70.81339712918661
883,70.81339712918661
884,70.81339712918661
885,72.24880382775119
886,69.377990430622
887,70.33492822966507
888,72.72727272727273
889,71.77033492822966
890,70.81339712918661
891,69.85645933014354
892,69.377990430622
893,70.33492822966507
894,69.85645933014354
895,71.29186602870813
896,70.33492822966507
897,71.29186602870813
898,71.29186602870813
899,70.81339712918661
900,70.81339712918661
901,74.16267942583733
902,71.77033492822966
903,70.81339712918661
904,69.85645933014354
905,68.89952153110048
906,69.377990430622
907,69.377990430622
908,67.46411483253588
909,71.77033492822966
910,70.81339712918661
911,71.29186602870813
912,71.77033492822966
913,74.16267942583733
914,73.20574162679426
915,68.89952153110048
916,68.89952153110048
917,72.72727272727273
918,70.33492822966507
919,72.24880382775119
920,71.29186602870813
921,71.29186602870813
922,68.89952153110048
923,71.29186602870813
924,70.81339712918661
925,71.29186602870813
926,74.64114832535886
927,70.81339712918661
928,70.33492822966507
929,71.29186602870813
930,71.77033492822966
931,72.72727272727273
932,73.20574162679426
933,72.24880382775119
934,72.24880382775119
935,69.85645933014354
936,73.68421052631578
937,73.68421052631578
938,71.77033492822966
939,69.85645933014354
940,71.29186602870813
941,68.42105263157895
942,71.29186602870813
943,71.77033492822966
944,66.98564593301435
945,69.377990430622
946,70.81339712918661
947,71.77033492822966
948,72.24880382775119
949,72.24880382775119
950,69.377990430622
951,71.77033492822966
952,70.81339712918661
953,69.377990430622
954,69.85645933014354
955,73.68421052631578
956,69.85645933014354
957,69.85645933014354
958,68.42105263157895
959,71.29186602870813
960,70.33492822966507
961,68.89952153110048
962,73.20574162679426
963,73.68421052631578
964,72.72727272727273
965,71.29186602870813
966,72.72727272727273
967,72.24880382775119
968,74.16267942583733
969,71.29186602870813
970,70.81339712918661
971,71.77033492822966
972,72.24880382775119
973,73.20574162679426
974,71.77033492822966
975,73.68421052631578
976,70.33492822966507
977,68.89952153110048
978,70.81339712918661
979,69.377990430622
980,67.94258373205741
981,71.29186602870813
982,69.85645933014354
983,71.29186602870813
984,72.72727272727273
985,69.377990430622
986,69.377990430622
987,72.72727272727273
988,72.72727272727273
989,71.77033492822966
990,70.33492822966507
991,72.72727272727273
992,73.20574162679426
993,68.42105263157895
994,71.29186602870813
995,70.81339712918661
996,70.33492822966507
997,72.72727272727273
998,72.24880382775119
999,70.33492822966507
